frame_id,is_frame_allowed,is_item_scan_event,objects_in_scene,object_in_roi,time_taken
229,True,False,['backpack'  'suitcase'  'chair'],,16
230,True,False,['backpack'  'suitcase'  'chair'  'bottle'],,18
231,True,False,['backpack'  'suitcase'  'bottle'  'chair'  'toilet'],,19
232,True,False,['suitcase'  'bottle'],,17
233,True,False,['backpack'  'chair'  'suitcase'],,17
234,True,False,['backpack'  'chair'  'suitcase'],,21
235,True,False,['backpack'  'suitcase'  'chair'],,17
236,True,False,['suitcase'  'backpack'  'chair'],,16
237,True,False,['chair'  'suitcase'  'backpack'],,16
238,True,False,['suitcase'  'chair'  'backpack'],,19
239,True,False,['suitcase'  'backpack'],,15
240,True,False,['backpack'  'suitcase'  'chair'],,14
241,True,False,['suitcase'  'backpack'  'chair'],,14
242,True,False,['backpack'  'suitcase'],,15
243,True,False,['backpack'  'suitcase'],,14
244,True,False,['backpack'  'suitcase'  'chair'],,15
245,True,False,['backpack'  'suitcase'],,14
246,True,False,['backpack'  'suitcase'],,14
247,True,False,['backpack'  'suitcase'],,17
248,True,False,['backpack'  'suitcase'],,15
249,True,False,['backpack'  'suitcase'  'chair'],,18
250,True,False,['backpack'  'laptop'  'bottle'  'bottle'  'suitcase'],,14
251,True,False,['backpack'  'laptop'  'bottle'  'bottle'  'suitcase'],,13
252,True,False,['laptop'  'bottle'  'bottle'  'backpack'],,16
253,True,False,['bottle'  'bottle'  'laptop'  'backpack'  'chair'],,14
